文件ID,CV质量10分，音声10分（20分）,DL号|社团|作者,FB,UC,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,内容cg丰富度（15分）,创建时间,剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,备注,夸克,封面,引擎,排雷 评价,搜索,攻略,更新日志,最后修改时间,游戏名大小,游戏性|玩法，好不好玩？（15分）,版本及更新时间等,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,百度,类型,视频,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",迅雷,预览
BAYJACT003,,,,,,,2026年2月16日 02:23,,,,,,,【ACT/汉化/全动态/有CV】 阿尔卑斯和危险之森 汉化版+存档+提取动画 【1.3G】,,,2026年2月16日 19:32,阿尔卑斯和危险之森 汉化版+存档+提取动画 【1.3G】,,,,1,"【ACT/汉化/全动态/有CV】 ",未开始,,S,,
BAYJACT004,10,,,,,10,2026年2月16日 02:23,25,,,,,"最早接触的一批神作，F1全cg
”本作采用UNITY引擎制作，画面精良，实用性好。由于本作属于众筹创作，逐步完善，发售日期为2020年五月19日（V1.0完结版）。        Grimhelm社的作品，就像他自己的备注那样，是一家专注于做Hentail游戏的厂家（笑）。目前制作完成的有三个作品，都属于探索类，同时拥有升级系统。属于美少女冒险系列。对白毛御姐似乎有一种别样爱好的社团。”      ",[PC/神作ACT/动态] 异形探索 A○ien Quest EVE 精翻汉化步兵完结版+存档 [1.4G],"基础操作：

上下左右移动，Z键跳跃，X键普攻，C键技能，在菜单栏上可以更改携带的技能，空格旋转攻击，下+Z可以滑铲，收集道具、技能等可以提升自身的属性

另外，如加攻击力等的属性技能也需要更改才能携带

按TAB可以观看放大后的地图

主要目标就是到地图上标点的三个地方去，各自触发一下

玩起来吃力的话，可以使用CE更改经验、药水等等，玩起来会舒适很多，但也舒适不到哪去，因为最后BOSS的设置非常的恶心

分为技能、道具、增益等，开门需要卡片，每个都是五种，长得各不相同

S为存档点，T为传送点，对应五个卡片

不同颜色的小方框代表了不同卡片能打开的门

骷髅头是击败吸血技能，属于额外小彩蛋，内部有着大量精英敌人，可以自己选择打不打

需要到有文字的三个地方完成任务，最下方完成后飞船倒计时爆炸
","·游戏介绍·
Alien Quest-EVE是一款由[Grimhelm]制作组出品的大型ACT游戏。
剧情简介    
 远在外太空的考察船上，鹰派的将领们看着眼前的造物发出了狂笑！那是外星的生物，那是无限的可能。然而，对科技突破的渴望冲垮了理性的防线。急功近利的他们，忽视了那个大脑可能潜在的危险。     随着警报嗡鸣作响，鲜艳的红色映照在将军的脸上，人类才发现我们似乎低估了外星的智慧。那扭曲的大脑，渐渐恢复了活性。一个代表着疯狂，代表着毁灭，也代表着一个文明的复苏的生物，他是天命之灭世者,万物的终结者,无可阻挡,无可违逆，而今天，他被重新唤醒了。    理所应当的，这种丑的一匹的造物，不应该被渺小的人类占有。主脑……暴走了！当主星系的探索队带回消息的时候，已经过了六个月之久那艘平平无奇的考察船，早已经变为了怪物们的巢穴！而作为联邦最出色（指身材）的特工——爱莲娜，你这次将身负重任，前往考察船消灭主脑……


",2026年6月8日 02:23,Alien_Quest_Eve_v1.01_64bit,15,,30,,[ACT/神作],未开始,SSS神作，夯爆，必吃,SSS  90,ACT合集,https://tu.coklw.vip/album/A004.5aP
BAYJACT005,,,,,,,2026年2月16日 02:23,,3.01,,,,,【神作ACT/PC/像素风】哥特少女勇闯恶魔城 sinisistar V3.0.0+存档,,,2026年2月16日 19:32,哥特少女勇闯恶魔城 sinisistar V3.0.0+存档,,,,,【神作ACT/PC/像素风】,未开始,,SS,精品ACT合集,
BAYJACT006,,,,,,,2026年2月16日 02:23,,,,,,,【动作ACT/幻想异种X/全动态/3D/中文】魔剑梦魇（魔剣インキュバス）V1.17官中完全版+集成DLC 【900M】,,,2026年2月16日 19:32,魔剑梦魇（魔剣インキュバス）V1.17官中完全版+集成DLC 【900M】,,,,1,【动作ACT/幻想异种X/全动态/3D/中文】,未开始,,S,,
BAYJACT007,,,,,,,2026年2月16日 02:23,,,,,,角色确实丰富，玩不太明白,【ACT/格斗/同人】全女格斗【17G】,,,2026年2月16日 19:32,全女格斗【17G】,,,,https://pan.baidu.com/s/15Ha3mnqZdHbEk9vRI0TyLQ?pwd=BAYJ,【ACT/格斗/同人】,未开始,,S,,
BAYJACT008,,【もぐらソフト】,,,,,2026年2月16日 02:23,,,,,,,【年度3D大作中文动态】圣骑士莉卡物语：白翼与银翼的姐妹+存档 V1.32 官方中文版【4G】,【もぐらソフト】,更新ACT80,2026年2月16日 19:32,圣骑士莉卡物语：白翼与银翼的姐妹+存档 V1.32 官方中文版【4G】,,更新BAYJACT80,,1,【年度3D大作中文动态】,未开始,,SSS,ACT合集,
BAYJACT009,,,XH,,,,2026年2月16日 02:23,,"存档在savedata
已覆盖无码补丁且内置作弊，F2 锁血，F3加经验",,,,,[PC/神作ACT/全动态]魔女复仇之夜 V1.07 完美解码作弊汉化完结版+魔改作弊mod+存档[2.4G],,"魔改mod有部分可以调整的地方，可以在游戏目录下找到
BepInEx/config/NoREroMod.cfg
该文件内可以对一部分mod的效果，包括怪物攻击，以及一些瑟瑟判定，伤害判断进行修改
同目录下有设置文件的中文说明，可以参考下

mod部分功能
1、爆衣裸体
2、爆衣状态被碰到可以直接被抓住，而不需要倒地
3、小兵随机刷新精英怪的模式，血量增加
4、真实视野，背后的怪会看不见
5、动画状态下会自动填充发情条，
6、挣扎方式变更，需要上方有提示的时候再点左键才有效，每次点击会增加耐力，且耐力回满才会挣扎成功

魔女阿拉迪亚因教堂猎杀魔女而被夺走了一切。
发誓要复仇的她，需要击退袭来的恶魔和恶魔堕落者完成复仇.
游戏概述：
这是[D-lis社在2022年10月29日发布的无敌巨作ACT游戏正式版。
真正的神作顶级ACT动作游戏，战斗全动态エロ，状态栏头像都在动态乳摇。
游戏中操作手感超强，打击感无比细腻，动作流畅，60帧丝滑流畅运行~
动态即时エロ多达史诗级的70种！战败结局动画15种，还有奇妙刑房玩法。
最新Ver1.07汉化完美解码步兵版，带作弊，附带170级存档+全CG回想！
游戏内容：
这是一个魔女在猎巫中被剥夺了一切，她发誓要报仇雪恨。
魔女阿拉迪娅能否击退在黑暗幻想世界中的堕落恶魔，对教会复仇呢？
2D灵魂级别的エロ动作游戏！一个成熟的动作/角色扮演游戏！
您可以在其中享受丰富的动态奇妙场景、探索、战斗、成长和发展。
游戏特点：
-游戏拥有超丰富的エロ场景，ACT即时动作有70个以上奇妙场景，比如敌人和奇妙陷阱。当被敌人击倒时再接触，就会过渡到奇妙场景。
-每个敌人都有大约10-20多种不同的阶段的奇妙动画，自动平滑切换并可设置循环，比如前戏-活塞1-活塞2-更换姿势…发射-事后动作等等。
-部分场景有暴力表现，那啥18场景可以通过选项打开关闭。对于被捉住时有那啥18场景，会提示[致命]标志方便逃脱。
-还有许多场景和动画只能在子事件中看到，大约有15个游戏战败结束奇妙动画。
-游戏有丰富的训练和武器强化元素。无论是使用强力武器训练，增加技术和武器，还是增加HP保命，一切由玩家决定。
-丰富的搜索元素，可以获得武器、特效戒指、魔法、奇妙日记和NPC记录等物品。可以构建适合的武器配置，例如不同的攻击动作、攻击次数和武器特效。
-通过升级成长和状态分配可以随时在基地重置。武器强化也可以通过消耗金钱开重置。有超过30种武器，都有不同外观和特性。",2026年5月30日 02:54,魔女复仇之夜 V1.07 完美解码作弊汉化完结版+魔改作弊mod+存档[2.4G],,https://pan.baidu.com/s/10-PWyaui9zcVZlgloL33Kw,,,[PC/神作ACT/全动态],未开始,SSS神作，夯爆，必吃,SSS,,https://pic.moebox.io/album/ACT009.XcSYV
BAYJACT010,,,,,,,2026年2月16日 02:23,,,,,,CG不错,【ACT/动态/反向X/PC】御姐与正太 A-RPG 梦醒后的亡者 おねショタA-RPG 夢から醒めた亡者 v1.20 AI汉化附全cg 【1.2G】,,,2026年2月16日 19:32,御姐与正太 A-RPG 梦醒后的亡者 おねショタA-RPG 夢から醒めた亡者 v1.20 AI汉化附全cg 【1.2G】,,V1.20,,1 https://pan.baidu.com/s/1L2zSDNo_1pizYrqOzTSO9Q?pwd=BAYJ 提取码: BAYJ,【ACT/动态/反向X/PC】,未开始,,S,,
BAYJACT011,,,,1,,,2026年2月16日 02:23,,,,https://image.acg.lol/file/2025/12/18/image007.png,,lutellaria几年前的像素风神作，作为act打斗手感也不错，最重要的是内容相当丰富，77M内容比某项770M的还多，性价比极高，个人很喜欢,【像素/ACT/扶她/PC】卢特拉利亚的封印 ルテラリアの封印 DL正式版+存档 [77M],,"●剧情
在某个世界的某个时代，王国西北部的卢特拉利亚地区，
有一个自古以来就是制作历史书籍，被高墙包围的地方。
没有人知道建造的目的，进入内部极为困难，
没有人能够回来。
而故事就发生在墙的那一边。



●系统
· 键盘/游戏手柄操作（已确认可使用XBOX360手柄）
· 近身攻击威力强大但间隙较大。
· 可以通过射击/冲刺消除近身攻击的间隙。
· 二段跳、射击和冲刺会消耗弹药。
· 弹药无限，但需要重新装填。
· 如果招架成功，会立即重新装填并使下一次近身攻击的威力提高5倍。· 
●场景：40个以上。",2026年2月17日 17:07,卢特拉利亚的封印 ルテラリアの封印 DL正式版+存档 [77M],,,,"https://pan.baidu.com/s/1nLdggjb6h-5UoIwLn3iWNw?pwd=bayj
https://drive.uc.cn/s/17c3aa2059084?public=
https://drive.uc.cn/s/6154421f20364?public=1",【像素/ACT/扶她/PC】,未开始,,SS,1,https://pic.moebox.io/album/ACT011.XO63Y
BAYJACT012,,,,,,,2026年2月16日 02:23,,,,,,看我贴吧帖,【ACT/像素/有动画】 女版恶魔城 UnHolY JaiL -Complete Edition- V1.2完整版 【140M】,,,2026年2月16日 19:32," 女版恶魔城 UnHolY JaiL -Complete Edition- V1.2完整版 【140M】",,V1.2,,1 pan.baidu.com/share/init?surl=3rmRBCmUryEwQmGkEKqAKw&pwd=bayj,【ACT/像素/有动画】,未开始,,A,,
BAYJACT013,,,,,,,2026年2月16日 02:23,,在游戏开始界面输入↑↑↓↓←→←→BA解锁 全cg,,,,佳作,"【PC/ACT/佳作/官中】（R18恶魔城）水之女神UnHolY DisAsTeRv1.20官方中文最终版+作弊码【894M】 ",,,2026年2月16日 19:32,"（R18恶魔城）水之女神UnHolY DisAsTeRv1.20官方中文最终版+作弊码【894M】 ",,V1.2  2018/9/28,,1 https://pan.baidu.com/s/1CGh8obGVL1G7tmrM_bsN_g?pwd=bayj,【PC/ACT/佳作/官中】,未开始,,S,,
BAYJACT014,,,,,,,2026年2月16日 02:23,,,,,,异种歼，还不错,【ACT/无码/凌辱/异种j】Xenotake 【v1.2c】,,,2026年2月16日 19:32,Xenotake 【v1.2c】,,V1.2c,,1 https://pan.baidu.com/s/1-O-fymd_0F_HkLVtpOLObg?pwd=bayj,【ACT/无码/凌辱/异种j】,未开始,,S,,
BAYJACT015,,,,,,,2026年2月16日 02:23,,,,,,比前作强不少，但内容才刚起步,【ACT】UnHolY PraYeR v2025.01.29,,,2026年2月16日 19:32,UnHolY PraYeR v2025.01.29,,有更新  2025/1/29,,1 https://pan.baidu.com/s/1jvLUXJcayxx72l579mC8DA?pwd=bayj,【ACT】,未开始,,A(SS),,
BAYJACT016,,,,,,,2026年2月16日 02:23,,,,,,像素风神作,【PC/ACT/像素/动态】魅魔之恋 V1.0.9 サキュバスアフェクション ～SuccubusAffection～ STEAM官中步兵版+存档[1.7G],,完结，附游戏介绍，巴比伦自购分享,2026年3月12日 09:27,魅魔之恋 V1.0.9 サキュバスアフェクション ～SuccubusAffection～ STEAM官中步兵版+存档[1.7G],,V1.0.9,,https://pan.baidu.com/s/1H7fiYQlXM9Pig171q8EGvQ?pwd=bayj,【PC/ACT/像素/动态】,未开始,SS精品，绝对值得品鉴,SS,,https://pic.moebox.io/album/ACT016.XclQB
BAYJACT017,,,,,,,2026年2月16日 02:23,,,,,,打不过，内容不少，赢了干，输了被干,【ACT/3D/全动态】堕落天使和扶她之塔 Fallen_Angel v1.0 完结版+全存档【1G】,,,2026年2月16日 19:32,堕落天使和扶她之塔 Fallen_Angel v1.0 完结版+全存档【1G】,,V1.0,,1 https://pan.baidu.com/s/1mNUAFnGkEn6Mn-zgD762CA?pwd=bayj,【ACT/3D/全动态】,未开始,,SS,,
BAYJACT018,,,"KLW, LW, XH",https://drive.uc.cn/s/c880839da7d64?public=1,,,2026年2月16日 02:23,,,,,,"正式版来了，可食用。存档解锁全模式，回想在自由模式中观看

测试版：没人标注，半夜玩差点吓萎了，后面好像还行？",【PC/3D微恐/射击/更新/异形/CV】罪恶尖塔 SIN SPIRE beta 1.02 STEAM官中步兵版+全解锁存档+CG录制[1.6G+],,"更新日志：
Sin Spire – 更新 1.0.2
本次更新主要侧重于错误修复和一些小的改进。
新增内容
新增亮度调节滑块
在主菜单界面新增游戏版本号显示
后日谈中黄色球体现在会发光
为自由模式添加了之前缺失的女妖动画
在自由模式中添加了与瓦内萨的 “净化她” 场景
为自由模式和最终Boss解锁机制添加了安全防护措施
调整与优化
后日谈笔记现在会添加到物品栏，不再每次进入起始大厅时自动打开
降低了 “预兆” 和 “恶魔” 两种敌人的生命值
移除了调试快捷键
修复了开始界面上的拼写错误
被击落至坑洞现在会导致玩家死亡
玩家现在无法从教程Boss战中退出而导致软锁定
当屏幕上有确认对话框时，无法再打开物品栏或地图
手电筒现在默认关闭
手电筒在玩家隐藏时不再消耗电池
手电筒现在使用另一种阻挡动画
在进行持续互动时打开地图或物品栏将取消该互动（防止净化任务软锁定）
在冲刺状态死亡时，冲刺状态将被关闭
打开物品栏或地图会暂停已击倒敌人的死亡计时
修复了祭坛和净化笔记拾取问题（若缺失净化笔记，现在会正常添加）
修复了房屋碰撞体阻止笔记拾取的问题",2026年4月2日 08:40,罪恶尖塔 SIN SPIRE beta 1.02 STEAM官中步兵版+全解锁存档[1.6G],,"https://pan.baidu.com/s/14kVXUiO_HrBqiwXzSm1UkA?pwd=6h8t
游戏简介：
踏入恐惧尖塔
《罪恶尖塔》是一款情色恐怖游戏，背景设定在由程序随机生成的大型地牢群中，每个转角都充满未知的惊骇。在游戏中，你将扮演一名无名流浪者，必须逃离这个潜伏着不可名状之物的黑暗异次元。你唯一的希望便是勇敢闯入尖塔，并净化其中受困的恶灵。
游戏特色
-采用第六代主机风格的复古画面
-5个主题各异、程序生成的地牢，并有“潜行者”对你穷追不舍
-形态各异的恐怖“魔物娘”角色，包含情色互动与语音演出
-动态化的第一/第三人称游戏内性爱场景
-技能成长、特质系统及更多内容！
复古情色恐怖
《罪恶尖塔》在风格上借鉴了第六世代电子游戏，通过复古视觉营造出一种诡谲感，形成既怀旧又扭曲的奇特氛围。
面对一群各具特色的女性敌人，你可以选择战斗、躲藏或逃跑——她们每一个都带来独特的威胁。在被这些骇人的女性“为所欲为”之前，购买武器、装备与升级项目来保护自己吧。
情欲净化
游戏全程保持角色视角，让你沉浸于与游戏世界完全融合的全身动态性爱场景中。务必谨慎管理角色状态，避免陷入险境；并运用你获得的“情欲祝福”来净化尖塔中的魔物。",,https://pan.baidu.com/s/11afy-Vbusk8pHOqVSrj15w?pwd=BAYJ,【PC/3D微恐/射击/更新/异形/CV】,未开始,,,https://pan.xunlei.com/s/VOjolMFCimxHJG4S975zyPfzA1?pwd=dvft#,https://pic.moebox.io/album/ACT018.XOEvu
BAYJACT019,,【もぐらソフト】,,,,,2026年2月16日 02:23,,,,,,cg不错，游戏性几乎没有,【精品/ACT/汉化】加油阿玛娜 机翻汉化版+存档【新作】【500M】,【もぐらソフト】,,2026年2月16日 19:32,加油阿玛娜 机翻汉化版+存档【新作】【500M】,,,,1 https://pan.baidu.com/s/1h1Umb8u6PUP0L9LGYA4-dA 提取码: BAYJ,【精品/ACT/汉化】,未开始,,A,,
BAYJACT020,,,,1,,,2026年2月16日 02:23,,,,,,小马拉大车好评，但cg有点重复了,【像素/ACT/汉化/动态】正太控大作战！～我的贞操正受到威胁～机翻汉化版+全回想【1.7G】,,,2026年2月16日 19:32,正太控大作战！～我的贞操正受到威胁～机翻汉化版+全回想【1.7G】,,,,1 https://pan.baidu.com/s/11ceIawGFiJqH7AHwGWOl3Q 提取码: BAYJ,【像素/ACT/汉化/动态】,未开始,,A,1,
