文件ID,搜索,排雷 评价,备注,更新日志,预览,百度,迅雷,UC,FB,版本及更新时间等,评级,"评级（成品级别）评分105- X          90-100 SSS           75-85 SS             60-70 S         45-55A     25-40B ",剧情有无代入感10分，实用度如何，20分好不好冲？（30分）,画风立绘建模如何？10分。动态？10分。cg质量？10分（30分）,CV质量10分，音声10分（20分）,游戏性|玩法，好不好玩？（15分）,内容cg丰富度（15分）,修正分，bug过多，挤牙膏，无意义刷量强行延长游玩时间+反作弊,封面,攻略,DL号|社团|作者,最后修改时间,创建时间,视频,类型,游戏名大小
BAYJSLG219,【PC+安卓/国产SLG/NTL/动态】韵母攻略1-5合集 官中步兵版 [15G]?+1.3+3.2+4.7+3.3,感觉不如小十七,,"《韵母攻略》是一款由国内作者小伟制作的SLG游戏。本作建模精美，玩法简单易上手。游戏中包含3D场景，并提供官方中文版本。游戏主打御姐和长腿角色，包含中出、口交等内容。一款国风的日母的SLG游戏，国人制作，质量十分不错
不仅全程动态CG，而且还有高质量的中文配音~
最有趣的是，这是一本改编自同名小说《韵母攻略》的游戏！
绝妙的经典改编，文本质量非常高，没有其他国产RPG直白无聊的！",https://pic.moebox.io/album/SLG219.XuHTP,https://pan.baidu.com/s/1fQ1JaBNc2SeCimhjrwnXUg?pwd=BAYJ,"https://pan.xunlei.com/s/VOc2GzmXRNe1cv1Q-k6vYV8WA1?pwd=hyij
",https://drive.uc.cn/s/3725a0e5560e4?public=1,"LW, XH",https://pan.baidu.com/s/1vYoMtJRRnDJNNBzUofJDiQ?pwd=i6yr,,,,,,,,,,,,2026年4月5日 14:37,2026年4月5日 01:04,未开始,【PC+安卓/国产SLG/NTL/动态】,韵母攻略1-5合集 官中步兵版 [15G]
BAYJRPG225,[PC+安卓/RPG/NTL/更新] 萝洁利姆 ロゼリアム v1.04 内嵌AI汉化版+作弊码 [2.3G],设定比较有趣，画风比较涩，但制作较粗糙，内容少,作弊码298752,"游戏简介
爱上了某部人气轻小说女主角的主人公
热门人气网络小说中的女主角 “萝洁”
主人公被这样的她（以及她的胸部）所吸引。
拥有人类最强性欲的你，使用好不容易到手的轻小说世界转移装置，
成功转生到了萝洁所在的异世界！…… 真的吗？
然而，转生的对象只是个普通路人……？！
而且，转生的对象并不是轻小说的主人公 “雷恩”！
偏偏转生在了一个普通路人身上的主人公。
但他无法放弃萝洁！！
他决心从身为萝洁守护者、拥有作弊能力的傲慢主人公手中夺走女主角！
运用原作知识，斩断一切剧情 flag！
没有特殊能力的你，要获得力量就只能潜入地下城。
于是，你要通过提升等级、获取强力武器来攻略这个世界！
在地下城里，或许会与可靠的仲魔（！？）有意外的相遇……
但是，盯上萝洁的人不止你一个……
要小心那些觊觎美丽极品少女的家伙们！
变强吧，从魔掌中守护她。
瞄准极品的雌性，现在你的冒险开始了……！
所有主要 H 场景都将以全动画 + 语音呈现。",https://pic.moebox.io/album/RPG225.XE2B4,https://pan.baidu.com/s/1NQ4-zIlSCuOjElC5zsVoEw?pwd=BAYJ,https://pan.xunlei.com/s/VOpGiIr_S1-NVGerCoO0BRo7A1?pwd=24e9#,https://drive.uc.cn/s/0483a2efbb504?public=1,"KLW, LW, XH",https://pan.baidu.com/s/1xtPQjURoWwvPqwAIMWdwsQ?pwd=bifb,A及格，算是个游戏，好不好看个人喜好，有的人觉得是精品，有的人觉得一般。游戏荒了可以一试,A 45,20,15,5,5,0,,,,,2026年4月5日 14:37,2026年4月3日 03:38,未开始,"[PC+安卓/RPG/NTL/更新] ",萝洁利姆 ロゼリアム v1.04 内嵌AI汉化版+作弊码 [2.3G]
BAYJACT187,【PC/ACT/动态】触手少女狩猎～在废弃学校中颤抖 触手ガールズハント～廃校でイグイグ～【510M】,,,"游戏简介
这是一款面向绅士玩家的游戏，让你化身触手，将女主角们彻底玩弄于股掌之中！

―――――基本操作（键盘&鼠标操作）―――――
左键点击：缠绕 右键点击：喷射
LeftCTRL：飞扑 空格：跳跃
WASD：移动
详细内容可通过『TAB：切换操作说明显示』确认。
这是一款无需复杂操作，专注于随心所欲地对女主角们进行恶作剧的动作游戏，让你轻松享受。
※ 本作作为实验性尝试，仅支持Xbox兼容布局（ABXY按键）的手柄。

―――――游戏内容―――――
<<对抵抗的女主角们施展动作，最终享受她们无法忍耐、苦闷不堪的样子！>>
《触手少女狩猎》是一款激烈又H的2.5D狩猎游戏。
你要在封锁的废弃校舍中，追逐并到处逃窜的12位女主角，将她们弄得浑身湿透，强行掳走，并植入快感。
在游戏过程中，玩家会根据行动获得经验值并升级，从随机出现的3个升级选项中选择一个来强化自身性能，逐渐能够更轻易地攻陷女主角。
当你熟悉玩法后，甚至可以将所有女主角逼到同一个房间，同时玩弄满屏幕的女主角，让她们集体失禁，尽情调教。
<<想进一步强化触手，用蠕动的触手攻略更多内容！>>
这时，请前往菜单界面的『强化』来提升性能！
根据调整，甚至可以在空中滑翔……！？
游玩时间参考：大约30分钟至2小时。
单次游玩约30分钟，若想看完所有结局，悠闲地玩大概需要2小时。
结局共准备了『游戏通关』『游戏结束』『隐藏』三种。
此外，本作搭载了根据玩家行动推进时间的『时间操作系统』，让你能从容思考攻略，顺利推进至游戏通关。
在《触手少女狩猎》中，扮演极度好色的触手，将连亲吻都不懂的纯情女主角们狠狠玩弄，让她们一次又一次地高潮吧！
（对了，如果集齐地图上藏着的所有胖次会怎样呢……？）

―――――通知―――――
应前作玩家对回想功能的请求，本作已实装此功能。
游戏通关后将解锁，可供观赏。
另外，延续前作，本次也准备了小小的隐藏指令。
游戏启动后，在强化画面『右键点击』总计19次！

◆ 开场 1 〜 Girls’ Side 〜
追求刺激的她们，偷偷闯入了禁止入内的废弃学校，画下了传闻中的魔法阵并念出了咒语。
◆ 开场 2 〜 Girls’ Side 〜
本想只是轻描淡写地试个胆量，但校舍剧烈震动，建筑物本身开始扭曲。
然后——某种来历不明的“东西”诞生了。
◆ 开场 3 〜 Girls’ Side 〜
她们因那异样的姿态而恐惧，四散逃窜，却被已变样的校舍困住，只能屏息躲藏。
她们究竟能否平安地从这怪异事件中逃脱呢？",https://pic.moebox.io/album/ACT187.XE8iq,https://pan.baidu.com/s/1RugwR6cz2rO8cidqf1glKw?pwd=BAYJ,https://pan.xunlei.com/s/VOpO6XzotOf_iW48ydMi8mCbA1?pwd=i5nz#,https://drive.uc.cn/s/6057ba0001bc4?public=1,"LW, XH",https://pan.baidu.com/s/1VYk0TaGvP2klZ2je4mAKGw?pwd=d34i,,,,,,,,,,,,2026年4月5日 14:37,2026年4月3日 22:24,未开始,【PC/ACT/动态】,触手少女狩猎～在废弃学校中颤抖 触手ガールズハント～廃校でイグイグ～【510M】
BAYJSLG338 (2),[PC/爆款SLG/NTL/动态/更新]若山先生的NTR教室 若山先生のNTR教室 v2.103 官方中文版 [1.6G],,,"2026/3/30更新
大幅下降每阶段对角色的能力要求，并取消了对性技巧的要求
取消了提升角色能力及获取金钱的小游戏
H场景中取消了烦人的节奏操作，并以长按左键取代
堕落ending对淫乱度的要求降低到75，并会显示在「目标」中
取消了性爱分数，购买性爱姿势只需性技巧达标即可购买
购买性爱姿势所需的性技巧及金钱要求降低
现在即使若山老师正在跟上杉老师互动时也能进行「要求」
学校冒险兴奋度上升速度加快
保健室隐奸跟H场景一样，只需长按左键
脱衣猜拳用金钱换取的分数追加到50

追加了7种新姿势(+6种变体)
追加了新ending: 如果在Day29没有让上杉知道你们的性关系，在淫乱度超过75后会触发「隐瞒」ending
追加新的小故事，可以在若山老师的房间触发
修复了没法触发「游戏中心」的bug
现在可以储存音量，分辨率及视窗模式了",https://pic.moebox.io/album/SLG338.XY2m5,https://pan.baidu.com/s/1WhMpbQcOS_QIYEP_Z6cq-w?pwd=BAYJ,https://pan.xunlei.com/s/VOmIXO5ZB4hic0T83es9YEifA1?pwd=rmc4,https://drive.uc.cn/s/04b369eca3a04?public=1,"KLW, LW, XH","https://pan.baidu.com/s/1kRD4-3jAOgNLpVZ2THi5gA?pwd=p16y
游戏简介：

情人节快乐。
这是关于若山老师的NTR课堂。一个拥有未婚妻的女教师被NTR的故事。上杉老师和若山老师是人人羡慕的理想情侣。俊男美女的组合，被誉为天作之合。某天，你发现了上杉老师的秘密，并以此为要挟，胁迫了若山老师。因此，两人之间的羁绊产生了巨大的动摇……

本作的女主角是若山兔。若山兔是一名21岁的年轻女教师。她是学校里最漂亮的美人。拥有一头美丽的银色长发，头脑聪明，性格温柔，在学校里深受学生们的喜爱。大学时代就以全校闻名的美女而著称，人气非常高，被众多男性追求过。在观看棒球比赛时，被学长上杉翔公开告白而成为了恋人。两人毕业后都成为了教师，计划几年后结婚。本以为能过上幸福的日子，但遗憾的是，她遇到了一个蓝发轻浮的男人……
兴趣是看电影、玩游戏、数学和读书。

（CV：折原若叶）
三围：
身高：168cm
胸围：104cm，I罩杯
腰围：53cm
臀围：95cm
生日：7月3日（巨蟹座）

游戏进程
可以对若山老师提出H和各种情色要求。要解锁H和各种情色要求，需要满足特定条件。这包括提升自身能力、提高攻略度、达成特定行动等。
在保健室里偷情！
注意别让上杉发现了！

在游戏中心和若山老师来一场大胆的Play！
趁上杉一起洗澡的时候，把若山老师给……
在上杉玩VR的时候，就在他旁边做爱！
还有各种各样大量的情色服装！",,,,,,,,,,,,2026年4月5日 14:37,2026年4月3日 00:56,未开始,[PC/爆款SLG/NTL/动态/更新],若山先生的NTR教室 若山先生のNTR教室 v2.103 官方中文版 [1.6G]
BAYJACT186 (1),【PC/3D/更新/动态】女鬼的深入治疗 女幽霊の秘められた治 The Ghost’s Intimate Cure v0.8.9 官中步兵+存档【6.2G】,,,"更新日志

v0.8.9
新增
增加韩语、俄语、西班牙语、法语、土耳其语、葡萄牙语、泰语的机翻。

修正
修正特定情况击败女鬼，离开性爱后女鬼不会消失的问题。
修复捣蛋鬼相关任务在特定情况下任务中断、无法继续进行的问题。
驱魔师公会按ESC会导致游戏崩溃的问题修正。
高大女鬼的潮吹特效位置校正。

优化
海报的灵骚更容易被打到。
警卫室拿钥匙相关任务提示相关优化。

v0.8.5
修复
修复动画异常问题。
修复流程卡住问题。
优化
优化警卫室钥匙点击范围。
优化回忆录界面。",https://pic.moebox.io/album/ACT186.XDVin,https://pan.baidu.com/s/13iMLGIjAZobI39SayH0evw?pwd=BAYJ,https://pan.xunlei.com/s/VOp7ekKFD6Oztm1SDfwU_v00A1?pwd=h59a#,https://drive.uc.cn/s/74899979f2854?public=1,"KLW, XH",https://pan.baidu.com/s/1xgDmKz31n2ITrDl_DGhCew?pwd=a8dy,,,,,,,,,,,,2026年4月5日 14:37,2026年4月3日 13:32,未开始,【PC/3D/更新/动态】,女鬼的深入治疗 女幽霊の秘められた治 The Ghost’s Intimate Cure v0.8.9 官中步兵+存档【6.2G】
BAYJSLG226,【PC+安卓/神作SLG/动态/更新】永恒世界 Eternum Ver0.9.5 官中步兵+攻略+全CG【11.6+3.8G】,"游戏概述
这款游戏是使用AI少女引擎制作的，所以人物建模是相当精美的
游戏建模真的很符合我们国人的口味，题材是大后宫，非常有趣。
玩法是沙盒模式，自由度很高，作者很是用心，剧情方面也非常给力。
其实就是男主和女主等几人进入了游戏一样的异世界里的社保大冒险~
游戏名字是小编起的，因为汉化组那个名字真的挺扯蛋的…
您将与最好的朋友搬到克里登市那里拥有该国一些最好的学校和大学，继续学业。
然而在 Kredon，每个人都只谈论一件事：
ETERNUM——几年前发布的虚拟、超现实MMORPG游戏，彻底改变技术世界。
有了能重现五种感官的神经植入物，就无法区分游戏和现实世界。
数以千计的服务器构成了永恒的网络：
从色彩缤纷、充满魔力的奇幻世界到迷雾缭绕的科幻城市，没一个世界遥不可及。
然而从表面上看，这个漂亮的外表有更黑暗的一面：
黑市、用刑、强O、非常内容贩卖、非常集会……永恒遵循无人规则。
出于某种原因，有关部门对此视而不见，没有监管，也没有控制。
有人说这是因为游戏很容易上瘾，
有人说这是因为市场每天波动数百万美元，
有人说当权者被贿赂了，
还有人说……还有其他事情正在发生。你呢？
你在这个故事中扮演什么角色？嗯，现在就看你了。",,"更新日志：
v0.9.5 Public
漏洞修复
添加了一些渲染和音频轨道",https://pic.moebox.io/album/SLG226.XRjiW,https://pan.baidu.com/s/1DXvN8sJJWmm0yVILifTxQA?pwd=BAYJ,https://pan.xunlei.com/s/VOhTLxP833ZuHtLoMWOb_6XZA1?pwd=h4ez#,"
https://drive.uc.cn/s/22b50292ae334?public=1",LW,https://pan.baidu.com/s/11rr4s4jDqf0CRBr7ZI4ArA?pwd=by8s,,SSS,,,,,,,,,,2026年4月5日 14:37,2026年2月16日 02:23,未开始,【PC+安卓/神作SLG/动态/更新】,永恒世界 Eternum Ver0.9.5 官中步兵+攻略+全CG【11.6+3.8G】
BAYJSLG127 (5),【PC+安卓/ARPG+互动SLG/动态/更新】与存在感淡薄的妹妹简单的生活Ver1.0.3rev.2+存档+作弊码 存在感薄い妹との簡単生活  A Simple Life with My Unobtrusive Sister【2.6+2G】,,安卓1.02要自行挂梯更新下,,https://pic.moebox.io/album/SLG127.XmxRn,https://pan.baidu.com/s/1NanSkaEfv_PD7C5RMPTNDw?pwd=ymmu,https://pan.xunlei.com/s/VOZ4kU-sTfvo2IWAZ-3hNkwoA1?pwd=5gbf,https://drive.uc.cn/s/c5e624a3cf714?public=1,"KLW, LW, XH",https://pan.baidu.com/s/1631BMmP3u4OYVBuHuxk6rA?pwd=aap4,SSS神作，夯爆，必吃,SS(SSS)  85,20,30,15,15+5,5,-5,,模糊用旧版本package文件替换新版本，游戏自带官方攻略网站,,2026年4月5日 14:32,2026年3月31日 01:51,未开始,【PC+安卓/ARPG+互动SLG/动态/更新】,与存在感淡薄的妹妹简单的生活Ver1.0.3rev.2+存档+作弊码 存在感薄い妹との簡単生活  A Simple Life with My Unobtrusive Sister【2.6+2G】
BAYJRPG221,[PC/像素ARPG/动态]魔物沙龙与迷途的冒险者 魔物サロンと迷い路の冒険者 v2.07 AI汉化版+全CG存档 [1.2G],玩法不错，地下城肉鸽迷宫。不过比较简陋，毕竟是狼头引擎。人物大眼睛小身体，画风挺有特色，不太合我口味。剧情对话和画风一样偏小孩，地下城探索找魔物来工作卖身,,"【故事简介】

边境村庄——赫伊萨斯。
在村庄附近的森林中，
发现了一片结构不断变化的
奇妙洞窟群。

听闻传闻后，
众多冒险者前来挑战，
其中，有一位少女的身影。

在村庄里遇到的一位名叫夏芭内的女性，
向少女提出了一个建议。
她表示愿意提供食宿，
作为交换，希望少女能为她经营的娼馆
从迷宫中招募魔物。

【游戏说明】

这是一款探索式Roguelite游戏，
玩家需要探索每次进入时结构和道具都会发生变化的迷宫，
并推动剧情发展。

与一般的Roguelike或Roguelite游戏相比，
本作的失败与逃脱风险较低，
玩家可以轻松享受冒险和事件剧情的乐趣。

游戏中包含针对不同种族的败北事件，
以及根据招募到的魔物娘触发的个别事件等，
H场景的基本CG数量
约为80张。",https://pic.moebox.io/album/RPG221.XDLKB,https://pan.baidu.com/s/1ZgWqfNk3M5dt1NzupGKkYA?pwd=BAYJ,"https://pan.xunlei.com/s/VOpQ1TKT7-s1yi4nSBexDG1oA1?pwd=4x4d#
",https://drive.uc.cn/s/75f4cd2a9dc94?public=1,XH,,,,,,,,,,,睡魔之杖真乃神器也,,2026年4月5日 14:28,2026年3月28日 17:46,未开始,[PC/像素ARPG/动态],魔物沙龙与迷途的冒险者 魔物サロンと迷い路の冒険者 v2.07 AI汉化版+全CG存档 [1.2G]
BAYJSLG347 (1),【PC/3D/SLG/动态/更新】常识改变模拟器 使用催○APP与心仪的她成为恋人吧 v1.014 官中正式版+存档【780M】,,,"2026年03月09日BUG修复
催眠デートでコンフィグ開くとエラー修正
音量調整
2026年03月04日BUG修复
細かいエラー修正
2026年03月02日内容添加
催眠デート
2026年03月01日BUG修复
トイレで顔射でエラー修正
2026年02月23日 BUG修复
修复了选择玩具时出现的错误
2026年02月20日 BUG修复 内容追加
新增韩语翻译
新增造人动作
汗水配置
2026年02月15日 BUG修复
针对结算界面可能出现的错误采取了应对措施
针对拍照容易失败的问题采取了应对措施
■ 支配
可以夺取身体的自由。精神状态与平时相同。

■ 常识改变
将常识修改为最适合当前情境的状态
■ 发情
将性格改造成如同淫乱魅魔一般的状态。

■ 服从
变得无法自主思考。服从使用者

■ 认知阻碍
可在女主角与女警的对话场景中使用
无法感知到主角的存在，但身体会回应H的要求
突然达到绝顶会让对方感到困惑

■ 透视功能
录制中也可以观看。
有必要亲眼确认偶像的健康状况呢，这很重要。

此外还有感官屏蔽
爱液喷发
等等
■ 跟踪
悄悄尾随女主角并查明其住处吧
注意镇上的路人妹子！
她们会举报可疑人员
主角虽然可以全裸，但是
会被女主角逃走并被路人妹子举报，非常麻烦……
■ 偷窥厕所
寻找逃进女厕所的女主角吧
因为还有其他人在，可以通过镜头偷窥或敲门观察反应……
甚至可以大胆地直接从上方偷窥！？
■ 搜查女主角家
偷窥撒尿、偷窥洗澡、闻内衣的味道、放置礼物、射精
安装偷拍相机来享受她的反应吧
■ 约会
通过对话和礼物营造气氛，让告白取得成功吧！
如果赠送荤段子相关的物品或成人用品，可是会被甩掉的哦！
不使用催○调教，仅靠对话和礼物与她成为恋人也是可能的…
用催○APP调教女大学生的模拟游戏！
本作是一款3D催○调教模拟游戏。
通过催○APP，您可以体验与女大学生的恩爱H。
对心爱的女孩反复进行调教，她会变得越来越淫乱。
将她变成仅仅看到主角就会发情的色色女孩，邀请她约会并告白，以建立恩爱的恋人关系为目标吧
舞台涵盖车站前、街道上、厕所、电车内以及女大学生的家中
您可以尽情享受自由度极高的催○调教
・女主角几乎全语音（发布时有一部分语音录制未能赶上）
・夺取处女的时机完全自由（成为恋人后女孩子会主动邀请初次H）
・3D特有的沉浸感
・唯一的恩爱恋人结局！！
韩语版H场景的文本尚未完成翻译
英语、中文版已基本完成翻译
女主角　森泽彩香 (Morisawa Ayaka)
• 
女大学生
喜欢读书的文静女孩
容易受周围人影响
不擅长社交，正想着总得做点什么来改变现状
被星探发掘为偶像，认为这或许是改变自己的契机
处女　巨乳
排尿时间很长
虽然拥有普通程度的性知识，但对恋爱非常生疏
然而在催○APP的影响下被逐渐开发，渐渐变成了淫乱的女孩……
CV：恋铃桃歌
• 
■ 次要角色　女警
新人女警
高中时代已有过经验
会看着出现了长得像憧憬的前辈的帅哥的色情漫画或语音作品来自慰
性格强势且充满活力
发现了举止可疑的主角并试图将其作为嫌疑人强行逮捕
却被催○APP反杀
CV：御子柴泉
•  
■ 主角　月并雄太 (Tsukinami Yuta)
从高中起就和女主角同班，一直暗恋着她。曾看着偷拍的照片自慰
为了她选择了同一所大学并努力考入
在校内看到她后便一路跟踪
当然，彩香完全不记得主角的事
某天目睹了她被星探发掘为偶像的一幕
感到一种危机感，认为这样下去她会被奇怪的粉丝缠上，甚至被心怀不轨的大人潜规则夺走处女
于是策划通过告白成为恋人，并进行恩爱H来造成既定事实
拿着从堂兄那里得知的催○APP，在回家的电车内寻找告白的时机",https://pic.moebox.io/album/SLG347.XYn52,https://pan.baidu.com/s/1e_SUqfn1efwP7apA9ImSTg?pwd=femy,https://pan.xunlei.com/s/VOoryXm-vziJ1OAxydDezlPQA1?pwd=6hp3#,https://drive.uc.cn/s/7d29b6bc2a7f4?public=1,"KLW, LW, XH",https://pan.baidu.com/s/1JJR_2vXpUyCWd1I9edY_4A?pwd=sevx,,,,,,,,,,,,2026年4月5日 02:29,2026年3月17日 15:25,未开始,【PC/3D/SLG/动态/更新】,常识改变模拟器 使用催○APP与心仪的她成为恋人吧 v1.014 官中正式版+存档【780M】
BAYJRPG222,[PC/新作RPG/动态]催眠OL后宫 Immoral office : Hypno Switch 官中步兵版+全CG存档 [1.5G],虽然AI但还不错,回想房和画廊都已全解锁,"【游戏简介】

“神秘的装置、10天倒计时、以及充满秘密的城市。”
在一个平凡的夜晚，你偶然捡到了一个被遗弃在街头的神秘**“催眠装置”**。这一发现，让这座城市瞬间变成了你的私人游乐场。

你只有整整10天的时间去探索这个街区的每一个角落，渗透进周围人的生活，并利用这个装置织就一张掌控他人的权欲之网。

开启一段大胆的成人冒险之旅——在这里，你的好奇心将得到丰厚回报，每一个隐藏的角落都潜藏着征服的可能。

【游戏特色】

高画质动态CG

在迷人的像素艺术世界与令人屏息的丰厚奖励之间感受视觉冲击。解锁超过50个高质量、全动态场景。这些并非简单的静态图像，而是让你的每一次“胜利”都栩栩如生的精美原画。

城市探索与发现

作为一场由冒险驱动的体验，地图尽在你的掌握之中。穿梭于办公室、便利店、当地酒吧、情趣酒店以及各种餐厅。每个地点都拥有独特的互动内容，且环境叙事会随着天数的推移而发生变化。

邂逅22位女主角

城市中居住着22位性格迥异的女主角，每个人都有自己的作息规律和背景故事。从职场上的高冷女上司到夜生活中的迷人美女，你必须在正确的时间和地点开启你的“实验”。

20+ 隐藏任务与秘密

真正的冒险家总能获得嘉奖。在主线之外，还有20多个由特定道具、时间或地点触发的隐藏任务。搜寻整座城市，揭开秘密对话并解锁最私密的成人场景。

战略性智能手机系统

你的手机是导航与支配的主要工具。将女主角注册为“好友”，追踪她们的位置，并管理你的“结局点数（Ending Points）”。追逐谁以及何时追逐，你的战术决策将决定最终触发哪一个多分支结局。

打造你的终极后宫

你是会专注于一段深刻的叙事，还是将10天的期限利用到极致？完成所有任务，精通催眠装置，将整座城市变成你的私人后宫。",https://pic.moebox.io/album/RPG222.XDQ6h,https://pan.baidu.com/s/14-33ppA7-r-YlzJCoYiTlw?pwd=BAYJ,https://pan.xunlei.com/s/VOpOG2by9H9R7zKE8D9FJUx5A1?pwd=dsp3#,https://drive.uc.cn/s/23ce7c000f154?public=1,"LW, XH",https://pan.baidu.com/s/1XLSs0fJ545p6CBHmO7XIGw?pwd=gu7j,,,,,,,,,,,,2026年4月5日 01:26,2026年3月28日 18:14,未开始,[PC/新作RPG/动态],催眠OL后宫 Immoral office : Hypno Switch 官中步兵版+全CG存档 [1.5G]
